id,name,long_name,seshat_region_name,start_year,end_year,seshat_region_id,seshat_subregions_list,seshat_mac_region,tr_year_from,tr_polity_territory_from,tr_year_to,tr_polity_territory_to,pop_year_from,pop_polity_population_from,pop_year_to,pop_polity_population_to,stl_year_from,stl_settlement_hierarchy_from,stl_year_to,stl_settlement_hierarchy_to,adm_year_from,adm_administrative_level_from,adm_year_to,adm_administrative_level_to,rlg_religious_level_from,rlg_religious_level_to,milt_year_from,milt_military_level_from,milt_year_to,milt_military_level_to,bur_year_from,bur_year_to,bur_full_time_bureaucrat,mrt_merit_promotion,bldg_specialized_government_building,irrig_irrigation_system,wtr_drinking_water_supply_system,mrkt_market,food_food_storage_site,road_road,dur_polity_year_from,dur_polity_year_to,peak_peak_year_from,peak_peak_year_to,cntr_degree_of_centralization
351.0,am_artaxiad_dyn,Armenian Kingdom,Anatolia-Caucasus,-188.0,6.0,43.0,"Turkey, Armenia, Georgia, Azerbaijan",11.0,,,,,,,,,,6.0,,6.0,,3.0,,3.0,3.0,3.0,,3.0,,3.0,,,present,,,present,,present,,present,-188.0,6.0,-95.0,-55.0,
903.0,az_caucasus_khanates,Khanates of the Caucasus,Anatolia-Caucasus,1748.0,1828.0,43.0,"Turkey, Armenia, Georgia, Azerbaijan",11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290.0,ge_georgia_k_2,Kingdom of Georgia II,Anatolia-Caucasus,975.0,1243.0,43.0,"Turkey, Armenia, Georgia, Azerbaijan",11.0,,,,,,,,,,4.0,,4.0,,5.0,,5.0,,,,,,,,,present,present,present,present,,present,present,,,,,,
834.0,ge_georgia_k_3,Kingdom of Georgia III,Anatolia-Caucasus,1329.0,1463.0,43.0,"Turkey, Armenia, Georgia, Azerbaijan",11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.0,il_canaan,Canaan,Levant,-2000.0,-1175.0,61.0,"Israel/Palestine, Jordan, Lebanon, Syria",11.0,,400.0,,3000.0,-2000.0,5000.0,-1551.0,40000.0,,6.0,,7.0,,,,,,,,,,,,,unknown,unknown,,present,present,present,present,present,,,-1550.0,-1550.0,quasi-polity
103.0,il_canaan,Canaan,Levant,-2000.0,-1175.0,61.0,"Israel/Palestine, Jordan, Lebanon, Syria",11.0,,400.0,,3000.0,-1550.0,5000.0,-1175.0,60000.0,,6.0,,7.0,,,,,,,,,,,,,unknown,unknown,,present,present,present,present,present,,,-1550.0,-1550.0,quasi-polity
870.0,il_jerusalem_k_1,Kingdom of Jerusalem I,Levant,1099.0,1187.0,61.0,"Israel/Palestine, Jordan, Lebanon, Syria",11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871.0,il_jerusalem_k_2,Kingdom of Jerusalem II,Levant,1192.0,1291.0,61.0,"Israel/Palestine, Jordan, Lebanon, Syria",11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,il_judea,Yehuda,Levant,-141.0,-63.0,61.0,"Israel/Palestine, Jordan, Lebanon, Syria",11.0,,5000.0,,10000.0,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,present,present,present,present,present,-141.0,-63.0,-105.0,-105.0,
105.0,il_yisrael,Yisrael,Levant,-1030.0,-722.0,61.0,"Israel/Palestine, Jordan, Lebanon, Syria",11.0,,8000.0,,15000.0,-1030.0,40000.0,-1000.0,50000.0,,7.0,,7.0,,,,,2.0,2.0,,6.0,,8.0,,,present,unknown,present,unknown,present,present,present,present,-1030.0,-722.0,-855.0,-855.0,confederated state
